Biggs L. & Noy M., (1994)., Matematica discreta., Vicens Vives.,Facultad de Ciencias.,Tema 1, 
Bogart K. P.- Villagómez Velázquez H. & Bogart K. P., (1996)., Matemáticas discretas., Limusa.,Facultad de Química (División de Estudios Profesionales).,tema 2,
Bogart K. Villagómez Velázquez H & Bogart P., (1996)., Matemáticas discretas., Limusa.,Facultad de Ciencias.,Tema 4,
Epp S. García Hernández E. & Epp S., (2012)., Matemáticas discretas con aplicaciones (Cuarta edición)., Cengage Learning.,Facultad de Ciencias.,Tema 4,
Espinosa Armenta R., (2010)., Matemáticas discretas., Alfaomega.,Facultad de Economía (División de Estudios Profesionales).,Tema 4,
Ferrando C. & Gregori V., (1995)., Matematica discreta (2a ed.)., Reverte.,Facultad de Ciencias.,Tema 4,
Ferrando J. & Gregori V., (1994)., Matematica discreta., Reverte.,Facultad de Ciencias.,Tema 4,
García Merayo F., (2015)., Matemática discreta (3a edición)., Paraninfo.,Facultad de Ciencias.,Tema 4,
Johnsonbaugh R. & González Osuna M. A., (2005)., Matemáticas discretas (Sexta edicón)., Pearson Educación.,Facultad de Economía (División de Estudios Profesionales).,Tema 4,
Lipschutz S.- Lars Lipson M. & Villagómez Velázquez H., (2009)., Matemáticas discretas., McGraw-Hill Interamericana.,Facultad de Química (División de Estudios Profesionales).,Tema 4,
Miranda E. & Viso Gurovich E., (2010)., Matemáticas discretas., UNAM., Facultad de Ciencias.,Tema 4,
Moreno García J.J. & Pazos Sierra J., (2015)., Matemática discreta (2.ª edición)., Centro de Estudios Financieros.,Facultad de Economía (División de Estudios Profesionales).,Tema 4,
Ross A. Wright B. Oteyza M. Ross A., (1990)., Matemáticas discretas (2nd ed.)., Prentice Hall.,Facultad de Ciencias.,Tema 4,
Ross K. A.- Oteyza M. & Ross K. A., (1990)., Matemáticas discretas (2nd ed.)., Prentice Hall.,Instituto de Matemáticas(UNAM).,Tema 8,
Ross K. A.- Wright C. R. B.- Oteyza M. & Ross K. A., (1990)., Matemáticas discretas (2nd ed.)., Prentice Hall.,Facultad de Economía (División de Estudios Profesionales).,Tema 4,
Tremblay J.P.- Rama M. & Rangel Gutiérrez R. H., (1996)., Matematicas discretas: con aplicacion a las ciencias de la computacion., CECSA.,Instituto de Matemáticas(UNAM).,Tema 4,
Tremblay P. Rama M. & Rangel Gutiérrez H., (1996)., Matematicas discretas: con aplicacion a las ciencias de la computacion., CECSA.,Facultad de Ciencias.,Tema 4,
Trias Pairó J., (2001)., Matemàtica discreta: problemes resolts., Universitat Politècnica de Catalunya.,Facultad de Ciencias.,Tema 4.,
